Category,Total Rows,Matching Rows,Non-Matching Rows,Match Percentage
lane,216,201,15,93.06%
obstacle,216,189,27,87.50%
decision,216,190,26,87.96%
final_decision,216,190,26,87.96%

lane:left lane,91,88,3,96.70%
lane:right lane,91,82,9,90.11%
lane:unclear,34,31,3,91.18%
obstacle:far away,70,46,24,65.71%
obstacle:near,56,53,3,94.64%
obstacle:very close,14,14,0,100.00%
obstacle:not on the same lane,76,76,0,100.00%
decision:straight forward,146,123,23,84.25%
decision:slow cruise,56,53,3,94.64%
decision:switch lane,14,14,0,100.00%
final_decision:straight forward,146,123,23,84.25%
final_decision:slow cruise,56,53,3,94.64%
final_decision:switch lane,14,14,0,100.00%
